Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
WASP-140 b,2021-01-03 03:36:01.326415,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-12-05 01:58:24.659215,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-11-26 03:19:08.761615,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-11-17 04:39:52.864015,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-11-08 06:00:36.966415,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-09-22 07:04:28.504015,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-10-01 05:43:44.401615,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
WASP-140 b,2020-09-13 08:25:12.606415,TRUE,1.5144000000000002 h,5260.0 K,9.609,23,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-11-13 03:09:16.416016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-11-23 05:04:49.152016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-12-20 02:12:56.448016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-10-17 06:01:09.120016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-09-10 06:57:29.088016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-12-30 04:08:29.184016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2020-12-03 07:00:21.888016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2020-12-06 05:42:04.319988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2020-09-22 05:08:15.647988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2020-10-08 06:58:21.791988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2020-11-04 02:01:52.031988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2020-11-20 03:51:58.175988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
TOI-270 b,2021-02-05 03:12:09.216016,TRUE,1.3870008 h,3386.0 K,9.099,21,90.75943558,0,156.3359257,230,230
LTT 1445 A b,2021-01-18 02:35:40.703988,TRUE,1.3776 h,3337.0 K,7.294,21,90.75943558,0,156.3359257,230,230
Wolf 503 b,2020-07-13 00:42:38.303998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
Wolf 503 b,2020-06-25 00:37:32.447998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
Wolf 503 b,2021-05-27 02:12:41.759998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
Wolf 503 b,2021-06-08 02:16:05.663998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
Wolf 503 b,2021-05-15 02:09:17.855998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
Wolf 503 b,2020-07-07 00:40:56.351998,TRUE,1.3210008 h,4716.0 K,8.324,20,90.75943558,0,156.3359257,230,230
